"№","Наименование","Остаток","Ед. измерения","Цена","Описание"
"1","Арматура 8мм А3 (1п.м.)","2365","шт","30","Арматура металлическая, изготовленная из высококачественной стали.
Сфера применения: изделие используется для проведения работ по армированию железобетонных изделий. 
Общее описание: арматура разделяется на стержневую, холоднотянутую, горячекатаную и проволочную. В свою очередь стержневая разделяется по характеру своего профиля на арматуру периодического профиля (круглый профиль с двумя продольными ребрами жесткости и множеством поперечных выступов) и гладкую. 
Свойства, которыми обладает арматура - прочность механических свойств, низкий уровень распорности в бетоне, жесткость и прочность сцепления с бетоном, хорошие показатели свариваемости, превосходная коррозионная стойкость и высокий уровень усталостной прочности. 
Характеристики: диаметр стержней - 8 мм, длина стержней - 3 и 6 метров."
"2","Болт оцинкованный М8х80 (50шт. уп.)","241","шт","260","зделие из метала, имеет цилиндрическую форму с нарезанной резьбой. Является самым популярным резьбовым соединительным крепежным элементом. Используется вместе с гайками и шайбами в строительных и промышленных отраслях для крепежа разнообразных соединений и конструкций.
Сфера применения: элемент используется для крепления листового металла в машиностроении и при производстве мебели.
Материал изготовления: болт изготовлен из конструкционной оцинкованной стали. 
Технические характеристики: головка болта шестигранная, резьба метрическая, полная. "
"3","Бумага наждачная шлифовальная М40 (нулёвка) 1 п.м.","198","шт","220","Наждачная бумага - незаменимый в строительстве шлифовочный материал, изготавливается из бумаги или ткани, с нанесением абразивного порошка. Сфера применения: используется для шлифовки поверхности и подготовки оснований для последующих работ. Материал предназначен для ручной и машинной обработки различных материалов (металл, дерево, стекло, пластик) с целью удаления старой краски, подготовки поверхности для грунтовки и окраски, шлифования окрашенных поверхностей и прочего.
Характеристики: тип - М40 (абразив приклеен мездровым клеем, размер основной фракции абразива - 40 мкм).
Рекомендации: для большего удобства работы рекомендуется натянуть наждачную бумагу на кусок деревянного или резинового бруса. В процессе работы материал становится мягче, при этом он частично теряет свои свойства. Но не стоит выбрасывать поработавшую наждачную бумагу, она не будет так эффективна, как новая, зато будет гораздо ""нежнее"". Поработавшая наждачка поможет сэкономить на новой, с более мелкой зернистостью. "
"4","Гайка М6 шестигранная оцинкованная (450шт.уп.)","24","шт","180","Изделие из метала, имеет цилиндрическую форму с нарезанной резьбой. Является самым популярным резьбовым соединительным крепежным элементом. Используется вместе с болтами в строительных и промышленных отраслях для крепежа разнообразных соединений и конструкций.
Сфера применения: элемент используется для крепления и соединения узлов и деталей совместно с болтами, винтами и другими крепежными элементами в машиностроении, строительстве и других отраслях народного хозяйства.
Материал изготовления: элемент изготовлен из конструкционной оцинкованной стали. 
Технические характеристики: размер М6 (d = 6 мм)."
"5","Гвозди строительные 3x70мм","100","кг","80","Вид строительного крепежного изделия (метиза), который имеет стержень в виде цилиндра, параллелепипеда, конуса или пирамиды и плоскую рифленую или декоративную шляпку. 

Сфера применения: гвозди строительные используются для крепления конструкций из различных материалов. Широко применяются как непосредственно при выполнении строительных работ, так и при ремонтно-профилактических работах. 
Материал изготовления: гвозди изготавливаются из низкоуглеродистой стали без применения термической обработки.
Технические характеристики: диаметр стержня - 3 мм, длина гвоздя - 70 мм."
"6","Гофра к унитазу 1м.","95","шт","230","Гофра пластиковая, предназначена для подключения унитаза к системе канализации.
Сфера применения: гофра используется при установке и подключении унитазов к канализационной системе в процессе ремонта, обустройства туалетных комнат.
Материал изготовления: пластик.
Технические характеристики: цвет - белый, длина гофры -  1 м."
"7","Грунт-эмаль по ржавчине (3 в 1) Синяя, ведро 20кг","34","шт","2999","Состав грунтовочный для металла ""3 в 1"" с добавлением модификатора ржавчины и других компонентов.

Сфера применения: материал используется для окраски поверхностей из металла с целью защиты их от коррозии, а также для декоративной отделки железобетонных и металлических конструкций, изделий и предметов из стали и алюминия: крыш, трубопроводов, водостоков, желобов, линий электропередач, оград, техники.
Свойства: состав обеспечивает надежную и долговечную защиту поверхности от воздействия агрессивных сред, характеризуется высокой скоростью высыхания..
Характеристики: цвет синий.
Способ применения: наносить краску можно кистью, распылителем, окунанием.
Упаковка: ведро 20 кг."
"8","Кирпич лицевой одинарный (размер 250х120х65) М150 цвет абрикос","150000","шт","25","Лицевой кирпич, предназначен для облицовки внешних стен зданий и сооружений.
Характеристики: предел прочности на сжатие,кгс/см2: 150-165. Предел прочности на изгиб,кгс/см2: 21-22,5. Водопоглащение,%: 9-12,5. Теплопроводность,Вт/(м*К): 0,37. Морозостойкость, цикл: F50. Пустотность,%: 39-40. Масса,кг: 2,35. Размер,мм: 250х120х65. Цвет - абрикос.
Особенности: натуральный, надежный в эксплуатации экологически чистый материал. Обладает ровным насыщенным цветом, края кирпича имеют фаску, что позволяет избежать образования на гранях кирпича «заусенцев» и сколов и придает более эстетичный вид сооружению. 
Упаковка: поддон и пленка."
"9","Кирпич строительный двойной щелевой М150 ( 250х120х130мм)","350000","шт","17","Строительный (рядовой) кирпич, один из наиболее популярных строительных материалов, применяемых при возведении зданий - из него строят внешние стены сооружений, несущие перегородки, фундаменты и цоколи.
Характеристики: строительный кирпич различается по маркам. Кирпич М100 и М125 - используется для кладки внутренних и внешних стен. Кирпич М150 - применяется для кладки цоколей, возведения стен колодцев, изготовления колонн, служит подушкой для плит перекрытия. Кирпич М200 - применяется для кладки цоколей, возведения стен колодцев, изготовления колонн, служит подушкой для плит перекрытия, а также для кладки каминов и печей. Размер: 250 +- 5 мм; 120 +- 4 мм; 130 +- 3 мм. Масса: 5,8 - 6,2 кг. Объемный вес (плотность) - 1600 кг/м3. Водопоглощение - не менее 8%.
Особенности: благодаря отсутствию в кирпиче внутренних полостей, при закреплении дюбелей в нем, как правило, не возникает никаких проблем.  "
"10","Клей монтажный КНАУФ Перлфикс / KNAUF Perlfix 30 кг.","450","шт","330","Сухая смесь, клей монтажный, на основе гипса с применением полимерных модифицирующих добавок, обеспечивающих повышенную адгезию материала к основанию. 

Сфера применения: приклеивание гипсокартонных листов, гипсовых комбинированных панелей, изоляционных материалов из пенополистирола и минеральной ваты к кирпичным, бетонным основаниям и оштукатуренным стенам.
Характеристики: расход воды - 15-16 л на 30 кг (1 мешок) смеси, расход сухой смеси ~5 кг/кв.м поверхности, полное высыхание достигается спустя 7 суток после нанесения, предназначен для проведения отделочных работ внутри помещений.
Отличительные особенности: позволяет быстро выравнивать стены без применения несущего каркаса, уменьшает потери внутреннего пространства при проведении отделочных работ, является экологически чистым безвредным для здоровья людей материалом.
Подготовка основания: раствор наносят на сухое чистое основание при температуре не ниже + 5°С. При использовании на сильно впитывающих основаниях их поверхность предварительно обрабатывают грунтовкой.
Упаковка: бумажные мешки, вес нетто - 30 кг.
Срок хранения 6 месяцев (хранить в сухом месте в закрытой упаковке).
Способ монтажа (приклеивания) клея кнауф перлфикс
Клей кнауф перлфикс удобно наносить с помощью кельмы – специальной металлической лопаточки. На поверхность вдоль всей ее длины и ширины равномерно с интервалом около 30-35 см наносят смесь порционно (порции меряют кельмой). Край приклеиваемого листа также смазывают клеем перлфикс кнауф. Делается это достаточно плотно: либо смесь наносится сплошным рядом, либо оставляется расстояние в несколько сантиметров. Если речь идет о приклеивании минеральной ваты или другого пористого материала, то поверхность полностью смазывается клеевой смесью перлфикс кнауф, что обеспечивает лучшее сцепление с основанием."
